ID,tsne   dim 1,tsne dim 2,Cluster
SRR11605054.91,-20.32565,-10.643957,2
SRR11605054.92,7.277409,-13.724714,12
SRR11605054.93,12.040101,9.257319,-1
SRR11605054.94,3.2683768,5.04508,-1
SRR11605054.95,7.275239,-13.725844,12
SRR11605054.96,-16.768652,-19.94829,7
SRR11605054.97,-14.737924,29.093273,1
SRR11605054.98,-23.983644,2.7222612,4
SRR11605054.99,-11.990696,20.84277,1
SRR11605054.100,16.715311,7.237283,12
SRR11605054.101,-9.512064,-9.440493,-1
SRR11605054.102,7.0829597,-14.16943,12
SRR11605054.103,-3.260793,14.307265,-1
SRR11605054.104,7.0827,-14.1699,12
SRR11605054.105,-9.448832,15.278403,0
SRR11605054.106,16.895948,-11.668113,-1
SRR11605054.107,20.439203,15.223732,11
SRR11605054.108,7.266064,-13.73358,12
SRR11605054.109,11.966755,5.7432857,-1
SRR11605054.110,3.6725185,4.1061707,-1
SRR11605054.111,21.281084,16.682886,11
SRR11605054.112,-7.1735253,15.848993,0
SRR11605054.113,-11.836947,28.33419,1
SRR11605054.114,-11.952201,22.15764,1
SRR11605054.115,16.89598,-11.668105,-1
SRR11605054.116,24.486744,7.9401927,10
SRR11605054.117,7.0830197,-14.169439,12
SRR11605054.118,-26.122,5.479691,4
SRR11605054.119,8.41071,19.19354,8
SRR11605054.120,4.5521765,3.8139389,-1
SRR11605054.121,-10.702528,23.452856,1
SRR11605054.122,8.055879,3.332333,-1
SRR11605054.123,16.529621,17.736116,11
SRR11605054.124,-9.467717,-9.646871,-1
SRR11605054.125,21.105507,-2.9913514,12
SRR11605054.126,22.243599,14.882438,11
SRR11605054.127,24.22475,6.99384,10
SRR11605054.128,7.275168,-13.726469,12
SRR11605054.129,-12.920138,13.432349,-1
SRR11605054.130,9.341971,-13.848105,12
SRR11605054.131,12.754003,14.738487,-1
SRR11605054.132,-15.197145,20.50783,1
SRR11605054.133,19.075186,-4.23165,12
SRR11605054.134,-5.4157224,-4.4109244,3
SRR11605054.135,-10.751251,21.622274,1
SRR11605054.136,7.2645025,-13.734935,12
SRR11605054.137,16.024857,-1.0498369,12
SRR11605054.138,-16.179134,22.33309,1
SRR11605054.139,18.61556,0.26328868,12
SRR11605054.140,7.0837684,-14.172178,12
SRR11605054.141,-4.495427,-16.829918,9
SRR11605054.142,0.63981336,-17.941158,-1
SRR11605054.143,-20.256887,-1.5867139,5
SRR11605054.144,19.720783,-5.3195686,12
SRR11605054.145,12.688028,12.873696,-1
SRR11605054.146,7.721886,-15.906216,12
SRR11605054.147,-10.88342,25.253706,1
SRR11605054.148,17.640211,21.95866,11
SRR11605054.149,-12.160953,23.802486,1
SRR11605054.150,-12.19573,27.516336,1
SRR11605054.151,16.557972,17.720188,11
SRR11605054.152,7.0837274,-14.1714,12
SRR11605054.153,-2.7174993,-5.659363,3
SRR11605054.154,14.85974,-11.639307,12
SRR11605054.155,-15.485591,28.016665,1
SRR11605054.156,16.33822,10.236367,12
SRR11605054.157,7.2633023,-13.736003,12
SRR11605054.158,-4.499562,-16.470064,9
SRR11605054.159,-16.133553,-22.453411,7
SRR11605054.160,16.33822,10.236367,12
SRR11605054.161,-9.51864,-9.432829,-1
SRR11605054.162,-24.099318,3.880918,4
SRR11605054.163,-9.913691,15.327829,0
SRR11605054.164,7.276204,-13.725588,12
SRR11605054.165,16.715311,7.237283,12
SRR11605054.166,16.449963,1.6276672,12
SRR11605054.167,-1.9136361,-0.251366,3
SRR11605054.168,7.0831647,-14.169457,12
SRR11605054.169,-11.952201,22.15764,1
SRR11605054.170,7.9741774,9.372538,-1
SRR11605054.171,8.067899,3.339345,-1
SRR11605054.172,-3.9830878,-13.312792,9
SRR11605054.173,24.327501,8.694311,10
SRR11605054.174,7.2604375,-13.738635,12
SRR11605054.175,6.57692,20.193167,8
SRR11605054.176,-9.382415,-15.322718,-1
SRR11605054.177,18.538902,16.85156,11
SRR11605054.178,7.2779813,-13.723839,12
SRR11605054.179,20.573078,-3.6160424,12
SRR11605054.180,-18.313086,-22.7536,7
SRR11605054.181,-23.173172,3.8009925,4
SRR11605054.182,7.0827103,-14.170015,12
SRR11605054.183,4.783065,-10.433074,-1
SRR11605054.184,-9.726732,14.845365,0
SRR11605054.185,-9.365941,-24.288965,6
SRR11605054.186,-24.928951,-10.846327,2
SRR11605054.187,-3.2111301,-15.024734,9
SRR11605054.188,7.0826154,-14.168281,12
SRR11605054.189,3.3890564,13.647356,-1
SRR11605054.190,-24.446497,-10.476818,2
SRR11605054.191,-24.83055,5.916405,4
SRR11605054.192,-23.887672,-11.96481,2
SRR11605054.193,11.184145,14.350882,-1
SRR11605054.194,-9.726783,14.845242,0
SRR11605054.195,7.0836635,-14.172886,12
SRR11605054.196,-11.836947,28.33419,1
SRR11605054.197,-26.220642,5.136213,4
SRR11605054.198,-18.13821,-24.275574,7
SRR11605054.199,1.4429111,-8.386611,-1
SRR11605054.200,-11.472618,-11.914557,9
SRR11605054.201,-14.487779,29.266554,1
SRR11605054.202,-24.099318,3.880918,4
SRR11605054.203,-15.030048,22.217514,1
SRR11605054.204,-13.449337,24.45458,1
SRR11605054.205,22.9795,8.0877,10
SRR11605054.206,3.2416039,13.69345,-1
SRR11605054.207,10.073769,-1.3978318,-1
SRR11605054.208,6.0323415,20.85548,8
SRR11605054.209,6.690216,-6.1191006,-1
SRR11605054.210,-14.014683,21.196419,1
SRR11605054.211,15.933443,-4.715382,12
SRR11605054.212,-5.805389,-6.28939,3
SRR11605054.213,-23.33605,5.3052425,4
SRR11605054.214,-10.616968,18.973667,1
SRR11605054.215,-9.043954,-15.651387,-1
SRR11605054.216,-12.220815,-14.250379,9
SRR11605054.217,-11.836947,28.33419,1
SRR11605054.218,-3.521505,-6.6404257,3
SRR11605054.219,16.6417,4.3109136,12
SRR11605054.220,3.2416039,13.69345,-1
SRR11605054.221,16.011467,8.66771,12
SRR11605054.222,19.473867,-2.2823153,12
SRR11605054.223,-10.774205,13.470298,0
SRR11605054.224,8.055879,3.332333,-1
SRR11605054.225,-9.195908,-1.3654159,3
SRR11605054.226,7.2697906,-13.730507,12
SRR11605054.227,17.567125,8.575145,12
SRR11605054.228,-5.48514,-0.6288387,-1
SRR11605054.229,3.1046603,-12.860753,-1
SRR11605054.230,24.327501,8.694311,10
SRR11605054.231,15.828258,17.275768,11
SRR11605054.232,5.227246,-14.557719,12
SRR11605054.233,7.2778735,-13.724196,12
SRR11605054.234,-23.33605,5.3052425,4
SRR11605054.235,17.324392,-5.6379776,12
SRR11605054.236,14.174124,-11.031315,12
SRR11605054.237,15.828258,17.275768,11
SRR11605054.238,-8.898604,-23.132977,6
SRR11605054.239,11.3755045,2.644351,-1
SRR11605054.240,6.2529054,21.055128,8
SRR11605054.241,-2.264895,-5.7863455,3
SRR11605054.242,-6.3869414,2.8541732,-1
SRR11605054.243,17.497995,7.186458,12
SRR11605054.244,-24.928951,-10.846327,2
SRR11605054.245,-17.17112,-3.9329903,5
SRR11605054.246,7.083256,-14.171722,12
SRR11605054.247,7.0839324,-14.17095,12
SRR11605054.248,-0.28525916,-19.718998,-1
SRR11605054.249,17.163828,18.242743,11
SRR11605054.250,-24.163351,3.9355903,4
SRR11605054.251,7.8088894,-2.5191147,-1
SRR11605054.252,16.197948,3.0615447,12
SRR11605054.253,-11.54702,25.343904,1
SRR11605054.254,-7.1735253,15.848993,0
SRR11605054.255,-16.722038,26.380142,1
SRR11605054.256,-20.602884,-11.240145,2
SRR11605054.257,-19.917652,-10.9007845,-1
SRR11605054.258,1.4818757,-4.430318,-1
SRR11605054.259,19.559807,4.459637,12
SRR11605054.260,20.490582,-3.5553646,12
SRR11605054.261,9.931339,-8.457536,-1
SRR11605054.262,-25.249592,-10.290152,2
SRR11605054.263,-13.337517,22.402788,1
SRR11605054.264,-11.911477,22.66899,1
SRR11605054.265,9.633383,14.314444,-1
SRR11605054.266,8.449304,20.466066,8
SRR11605054.267,-15.371914,-20.763502,7
SRR11605054.268,7.569558,-14.48962,12
SRR11605054.269,2.861611,13.766326,-1
SRR11605054.270,19.215237,0.55752534,12
SRR11605054.271,8.42394,9.4735985,-1
SRR11605054.272,5.3072147,-4.390207,-1
SRR11605054.273,-10.703793,-10.822635,9
SRR11605054.274,17.749138,-2.3983104,12
SRR11605054.275,7.5695405,-14.487933,12
SRR11605054.276,-15.536517,21.099379,1
SRR11605054.277,-15.0173235,22.206615,1
SRR11605054.278,-12.902475,20.225067,1
SRR11605054.279,-19.567165,-23.25985,7
SRR11605054.280,6.3552837,-6.1734247,-1
SRR11605054.281,24.481981,7.9468317,10
SRR11605054.282,5.080585,-10.240841,-1
SRR11605054.283,-17.187159,-3.9609025,5
SRR11605054.284,-12.569536,12.603995,0
SRR11605054.285,-12.561751,13.116089,0
SRR11605054.286,15.193971,0.90398616,12
SRR11605054.287,15.467289,4.259362,12
SRR11605054.288,17.459179,8.99066,12
SRR11605054.289,-0.36803335,-21.67685,-1
SRR11605054.290,-24.011238,3.8581715,4
SRR11605054.291,4.834681,1.8093927,-1
SRR11605054.292,17.494267,6.8336077,12
SRR11605054.293,-15.445955,27.97584,1
SRR11605054.294,-16.154266,24.254974,1
SRR11605054.295,7.569524,-14.489155,12
SRR11605054.296,-7.145203,15.820952,0
SRR11605054.297,-10.936733,21.945414,1
SRR11605054.298,7.56991,-14.48949,12
SRR11605054.299,11.170905,14.3973055,-1
SRR11605054.300,-10.996722,-1.8851122,3
SRR11605054.301,-23.110544,-12.351207,2
SRR11605054.302,19.337337,20.879402,11
SRR11605054.303,-10.610194,-13.232728,9
SRR11605054.304,-25.634218,2.598391,4
SRR11605054.305,-25.634218,2.598391,4
SRR11605054.306,-5.1556916,-4.0669327,3
SRR11605054.307,7.8399925,-13.96557,12
SRR11605054.308,-0.36803335,-21.67685,-1
SRR11605054.309,-12.935536,-12.728247,9
SRR11605054.310,7.839481,-13.968339,12
SRR11605054.311,16.875597,1.1276108,12
SRR11605054.312,-6.4653683,15.730912,0
SRR11605054.313,15.836277,-10.705073,12
SRR11605054.314,1.7191367,-4.577095,-1
SRR11605054.315,19.61349,21.312935,11
SRR11605054.316,17.459179,8.99066,12
SRR11605054.317,-25.618435,-9.627604,2
SRR11605054.318,6.05297,20.829107,8
SRR11605054.319,-8.653737,-1.387623,3
SRR11605054.320,16.038254,18.42506,11
SRR11605054.321,5.3072305,-4.390191,-1
SRR11605054.322,-12.0581875,30.085005,1
SRR11605054.323,-5.1873903,-8.455052,-1
SRR11605054.324,15.194057,0.9038989,12
SRR11605054.325,-10.511837,-10.53656,9
SRR11605054.326,-24.011066,3.85807,4
SRR11605054.327,-18.510609,6.362451,-1
SRR11605054.328,-18.51061,6.362438,-1
SRR11605054.329,-5.216552,-8.334468,-1
SRR11605054.330,1.5527985,0.6192319,-1
SRR11605054.331,-16.987793,27.7751,1
SRR11605054.332,13.06166,3.0820947,-1
SRR11605054.333,7.8255057,-15.995151,12
SRR11605054.334,7.839494,-13.968276,12
SRR11605054.335,-7.023588,26.068567,-1
SRR11605054.336,-13.01863,28.720638,1
SRR11605054.337,-7.8362975,15.4687605,0
SRR11605054.338,3.9518888,1.9763596,-1
SRR11605054.339,-22.392462,3.5318942,4
SRR11605054.340,7.569604,-14.488023,12
SRR11605054.341,-6.6491947,2.4921987,-1
SRR11605054.342,15.467159,4.2594485,12
SRR11605054.343,15.467159,4.2594485,12
SRR11605054.344,-9.665862,14.879123,0
SRR11605054.345,-10.7193,-13.192381,9
SRR11605054.346,-19.16126,-21.04501,7
SRR11605054.347,-24.778704,-9.987486,2
SRR11605054.348,-10.703764,-10.822636,9
SRR11605054.349,7.569599,-14.489312,12
SRR11605054.350,7.839682,-13.967094,12
SRR11605054.351,-11.062394,25.880165,1
SRR11605054.352,-17.344257,-3.6383343,5
SRR11605054.353,18.181677,8.1566515,12
SRR11605054.354,16.0145,-0.94568086,12
SRR11605054.355,16.875607,1.1276048,12
SRR11605054.356,-9.665862,14.879123,0
SRR11605054.357,7.838219,-13.967926,12
SRR11605054.358,-6.526605,2.8200083,-1
SRR11605054.359,7.569267,-14.489363,12
SRR11605054.360,-22.951569,4.5910254,4
SRR11605054.361,18.480154,4.069969,12
SRR11605054.362,20.361095,13.311889,-1
SRR11605054.363,7.839991,-13.965404,12
SRR11605054.364,-3.7981963,-2.380877,3
SRR11605054.365,-22.283249,2.697053,4
SRR11605054.366,-9.106499,-2.4901364,3
SRR11605054.367,-0.98982996,-3.1437676,3
SRR11605054.368,14.840005,5.376486,12
SRR11605054.369,-18.004154,-2.3433232,5
SRR11605054.370,20.43995,15.232818,11
SRR11605054.371,-16.29697,-23.091602,7
SRR11605054.372,-5.488514,2.9261858,-1
SRR11605054.373,-6.391268,2.8486555,-1
SRR11605054.374,-9.2625,-0.9204396,3
SRR11605054.375,17.108654,6.5656943,12
SRR11605054.376,11.698855,9.201833,-1
SRR11605054.377,-23.646587,-10.253235,2
SRR11605054.378,17.459227,8.99071,12
SRR11605054.379,-11.445917,26.822357,1
SRR11605054.380,-9.619094,28.494774,1
SRR11605054.381,7.5696344,-14.487913,12
SRR11605054.382,7.569466,-14.487487,12
SRR11605054.383,-0.23054956,-22.147036,-1
SRR11605054.384,15.295505,8.58166,12
SRR11605054.385,20.533884,-2.2041347,12
SRR11605054.386,18.55799,0.3938725,12
SRR11605054.387,-19.16126,-21.04501,7
SRR11605054.388,7.8378725,-13.968968,12
SRR11605054.389,18.557796,0.39407286,12
SRR11605054.390,-11.344802,-2.3722696,3
SRR11605054.391,7.839092,-13.966424,12
SRR11605054.392,-8.699209,-22.531975,6
SRR11605054.393,17.149193,18.231815,11
SRR11605054.394,7.8393025,-13.96834,12
SRR11605054.395,-24.011173,3.8581564,4
SRR11605054.396,12.028603,9.249917,-1
SRR11605054.397,20.43995,15.232818,11
SRR11605054.398,-24.962593,-10.857342,2
SRR11605054.399,-12.952136,-12.754296,9
SRR11605054.400,17.816427,12.102578,12
SRR11605054.401,-19.161154,-21.045109,7
SRR11605054.402,-24.256918,5.494517,4
SRR11605054.403,-12.059028,23.995779,1
SRR11605054.404,-8.682406,-22.535124,6
SRR11605054.405,10.056583,1.6288459,-1
SRR11605054.406,-23.16326,3.8144572,4
SRR11605054.407,-20.230461,-0.28365228,5
SRR11605054.408,-18.378517,-18.918068,7
SRR11605054.409,-24.962593,-10.857342,2
SRR11605054.410,-24.962593,-10.857342,2
SRR11605054.411,7.569853,-14.489494,12
SRR11605054.412,-13.182663,28.168516,1
SRR11605054.413,10.427708,-3.6575072,-1
SRR11605054.414,14.212928,-10.883109,12
SRR11605054.415,19.6136,21.312956,11
SRR11605054.416,7.569336,-14.487451,12
SRR11605054.417,-5.486273,-14.10945,9
SRR11605054.418,8.251893,20.620192,8
SRR11605054.419,-9.141308,-16.17693,-1
SRR11605054.420,-5.8506603,1.8532125,-1
SRR11605054.421,4.78768,-10.429677,-1
SRR11605054.422,7.839285,-13.96844,12
SRR11605054.423,14.809709,-11.511514,12
SRR11605054.424,15.193971,0.90398616,12
SRR11605054.425,7.8402076,-13.965294,12
SRR11605054.426,19.613539,21.312944,11
SRR11605054.427,-0.4210319,-3.332603,-1
SRR11605054.428,7.8393364,-13.968337,12
SRR11605054.429,12.772413,-0.3090212,-1
SRR11605054.430,-7.966839,12.005223,0
SRR11605054.431,-15.301957,23.299505,1
SRR11605054.432,3.2447653,13.695216,-1
SRR11605054.433,-6.9992113,3.6096513,-1
SRR11605054.434,5.3072305,-4.390191,-1
SRR11605054.435,20.272476,12.940765,-1
SRR11605054.436,-18.50479,6.4412394,-1
SRR11605054.437,-5.473082,-5.811452,3
SRR11605054.438,-11.037628,-23.569717,6
SRR11605054.439,7.8392577,-13.968649,12
SRR11605054.440,-12.094075,10.873665,-1
SRR11605054.441,-11.21102,-23.337597,6
SRR11605054.442,-22.951887,4.59127,4
SRR11605054.443,12.479925,5.846064,-1
SRR11605054.444,12.480014,5.846039,-1
SRR11605054.445,21.408113,15.480664,11
SRR11605054.446,-7.145203,15.820952,0
SRR11605054.447,20.439947,15.232818,11
SRR11605054.448,-0.36767507,-21.677025,-1
SRR11605054.449,17.831423,18.692436,11
SRR11605054.450,10.375739,-7.478331,-1
SRR11605054.451,17.009672,14.656542,-1
SRR11605054.452,7.8399944,-13.965568,12
SRR11605054.453,-4.6661487,0.49964327,3
SRR11605054.454,7.839361,-13.968353,12
SRR11605054.455,-24.011173,3.8581564,4
SRR11605054.456,8.638198,1.5659093,-1
SRR11605054.457,19.6136,21.312956,11
SRR11605054.458,7.56954,-14.489232,12
SRR11605054.459,-17.859604,-21.570068,7
SRR11605054.460,-11.753412,13.001713,0
SRR11605054.461,-6.391264,2.8486655,-1
SRR11605054.462,14.8221,9.28639,12
SRR11605054.463,-6.526605,2.8200083,-1
SRR11605054.464,7.840502,-13.964503,12
SRR11605054.465,-10.703773,-10.822612,9
SRR11605054.466,19.559807,4.459633,12
SRR11605054.467,19.13846,5.6922154,12
SRR11605054.468,4.857069,19.751207,8
SRR11605054.469,19.659658,20.978668,11
SRR11605054.470,-22.427353,7.0286665,4
SRR11605054.471,-12.952136,-12.754297,9
SRR11605054.472,7.837968,-13.969132,12
SRR11605054.473,-15.445955,27.97584,1
SRR11605054.474,3.3556924,4.494718,-1
SRR11605054.475,8.056611,3.333597,-1
SRR11605054.476,19.171177,22.277523,11
SRR11605054.477,-18.004154,-2.3433232,5
SRR11605054.478,10.8122225,-3.5549536,-1
SRR11605054.479,-13.245079,22.312422,1
SRR11605054.480,8.098922,-10.71567,-1
SRR11605054.481,-24.962593,-10.857342,2
SRR11605054.482,5.3072658,-4.390211,-1
SRR11605054.483,-21.747625,6.5334206,4
SRR11605054.484,-21.733507,3.0635102,4
SRR11605054.485,-10.954788,-10.438777,9
SRR11605054.486,-10.69688,-10.722154,9
SRR11605054.487,10.941448,-3.2341769,-1
SRR11605054.488,-15.5066185,23.132421,1
SRR11605054.489,10.962519,-3.224178,-1
SRR11605054.490,-18.4307,-1.8702768,5
SRR11605054.491,-11.569459,25.44872,1
SRR11605054.492,8.449304,20.466066,8
SRR11605054.493,-8.068414,15.874857,0
SRR11605054.494,-6.391264,2.8486655,-1
SRR11605054.495,15.533677,-10.59143,12
SRR11605054.496,-15.445955,27.97584,1
SRR11605054.497,-11.835934,28.311943,1
SRR11605054.498,4.2490683,4.9676023,-1
SRR11605054.499,4.2490683,4.9676023,-1
SRR11605054.500,10.8120165,-3.5548513,-1
SRR11605054.501,-0.98982996,-3.1437676,3
SRR11605054.502,15.80922,17.26468,11
SRR11605054.503,-4.0241275,-13.389992,9
SRR11605054.504,-19.16126,-21.04501,7
SRR11605054.505,-9.137848,15.450675,0
SRR11605054.506,-22.058716,5.583644,4
SRR11605054.507,-25.634218,2.598391,4
SRR11605054.508,24.844727,8.379906,10
SRR11605054.509,17.667654,12.176382,12
SRR11605054.510,10.8122225,-3.5549536,-1
SRR11605054.511,10.8122225,-3.5549536,-1
SRR11605054.512,-12.956997,-10.926225,9
SRR11605054.513,19.913635,-3.5171847,12
SRR11605054.514,-10.382059,27.026659,1
SRR11605054.515,16.003885,-0.7491974,12
SRR11605054.516,2.7806346,5.1990833,-1
SRR11605054.517,20.384527,-3.4285395,12
SRR11605054.518,-17.262434,-3.9884117,5
SRR11605054.519,7.5683107,9.292728,-1
SRR11605054.520,16.797071,-3.5579832,12
SRR11605054.521,4.495697,-10.980026,-1
SRR11605054.522,8.485209,-14.509372,12
SRR11605054.523,8.34867,-14.751034,12
SRR11605054.524,8.34904,-14.7502775,12
SRR11605054.525,-24.202492,6.708797,4
SRR11605054.526,11.827032,8.905572,-1
SRR11605054.527,21.317392,16.688662,11
SRR11605054.528,18.491835,0.71686083,12
SRR11605054.529,8.348147,-14.751319,12
SRR11605054.530,-3.9750543,-13.220268,9
SRR11605054.531,21.317392,16.688662,11
SRR11605054.532,18.16212,3.962937,12
SRR11605054.533,-9.542063,14.924146,0
SRR11605054.534,14.854679,-11.233607,12
SRR11605054.535,-12.936821,-12.751932,9
SRR11605054.536,-19.09972,-21.050491,7
SRR11605054.537,17.276175,-10.918882,12
SRR11605054.538,15.3003025,0.9968898,12
SRR11605054.539,15.3003025,0.9968898,12
SRR11605054.540,-0.40061346,-21.66625,-1
SRR11605054.541,14.344522,-10.569816,12
SRR11605054.542,17.546778,-11.815537,-1
SRR11605054.543,8.447054,20.452314,8
SRR11605054.544,-14.562669,-15.53126,-1
SRR11605054.545,4.796552,-10.42417,-1
SRR11605054.546,-23.945496,3.8105428,4
SRR11605054.547,17.651077,12.176482,12
SRR11605054.548,8.056681,3.3348715,-1
SRR11605054.549,11.647006,9.504806,-1
SRR11605054.550,7.568308,9.292732,-1
SRR11605054.551,-23.94557,3.8105316,4
SRR11605054.552,2.478996,-24.140371,-1
SRR11605054.553,22.12546,16.681684,11
SRR11605054.554,-8.827773,14.133855,0
SRR11605054.555,8.3490505,-14.750445,12
SRR11605054.556,10.856782,-3.491864,-1
SRR11605054.557,16.018211,-10.950787,12
SRR11605054.558,-23.945534,3.810618,4
SRR11605054.559,11.178547,14.398221,-1
SRR11605054.560,9.423835,-2.038647,-1
SRR11605054.561,-23.945593,3.8105311,4
SRR11605054.562,6.851723,8.021977,-1
SRR11605054.563,-11.678333,-15.08611,9
SRR11605054.564,-14.578787,-15.526043,-1
SRR11605054.565,6.477558,-6.162881,-1
SRR11605054.566,11.178547,14.398221,-1
SRR11605054.567,-11.758686,22.352076,1
SRR11605054.568,11.1802025,14.393151,-1
SRR11605054.569,17.022617,7.299341,12
SRR11605054.570,-12.906108,-11.136194,9
SRR11605054.571,-9.542063,14.924146,0
SRR11605054.572,-8.520979,15.76063,0
SRR11605054.573,-10.888358,-1.6958737,3
SRR11605054.574,7.69873,-2.1251333,-1
SRR11605054.575,8.348458,-14.750997,12
SRR11605054.576,-11.673163,-15.083778,9
SRR11605054.577,9.525517,-13.061247,12
SRR11605054.578,18.45418,18.460426,11
SRR11605054.579,-11.537758,25.145199,1
SRR11605054.580,19.179024,22.298664,11
SRR11605054.581,11.038606,16.682447,-1
SRR11605054.582,-4.646389,12.338397,-1
SRR11605054.583,3.1264853,-12.842104,-1
SRR11605054.584,-7.5921926,15.934027,0
SRR11605054.585,8.485409,-14.508159,12
SRR11605054.586,-16.808104,-21.704382,7
SRR11605054.587,-7.094778,15.793099,0
SRR11605054.588,-16.357817,-22.271137,7
SRR11605054.589,-15.260037,-20.951714,7
SRR11605054.590,-14.606574,-15.52055,-1
SRR11605054.591,-14.983076,22.185532,1
SRR11605054.592,-10.965669,-1.9105169,3
SRR11605054.593,-3.9824865,-13.235812,9
SRR11605054.594,20.438845,15.250218,11
SRR11605054.595,-15.103397,27.56328,1
SRR11605054.596,9.386953,10.939705,-1
SRR11605054.597,-0.40061346,-21.66625,-1
SRR11605054.598,-13.071774,-12.6000805,9
SRR11605054.599,5.7868776,20.31169,8
SRR11605054.600,-23.94543,3.810506,4
SRR11605054.601,-23.94549,3.810542,4
SRR11605054.602,8.485409,-14.508159,12
SRR11605054.603,-10.604619,-13.233402,9
SRR11605054.604,-17.947918,-2.3695102,5
SRR11605054.605,-9.004277,-15.636559,-1
SRR11605054.606,-2.7473903,-12.2208805,9
SRR11605054.607,24.479227,7.9588656,10
SRR11605054.608,-3.2054899,-14.971097,9
SRR11605054.609,8.347734,-14.752088,12
SRR11605054.610,8.485542,-14.508281,12
SRR11605054.611,-9.038692,-15.649275,-1
SRR11605054.612,6.0655656,20.786684,8
SRR11605054.613,8.347551,-14.751523,12
SRR11605054.614,-6.5291586,2.80994,-1
SRR11605054.615,17.857515,21.917797,11
SRR11605054.616,10.856782,-3.491864,-1
