ID,tsne dim 1,tsne dim 2,Cluster
SRR11605054.60,-2.49327,1.199179,-1
SRR11605054.61,2.6651888,19.236847,9
SRR11605054.62,-6.2844357,-4.876164,-1
SRR11605054.63,-7.597347,-6.2629914,-1
SRR11605054.64,1.7497736,3.667303,11
SRR11605054.65,-4.525848,13.048933,10
SRR11605054.66,-4.6050096,4.185438,-1
SRR11605054.67,4.8222,-19.484812,11
SRR11605054.68,1.4532603,3.601281,11
SRR11605054.69,9.809018,5.220596,-1
SRR11605054.70,14.425945,14.224101,5
SRR11605054.71,9.625847,-12.453253,-1
SRR11605054.72,1.3301737,3.5275989,11
SRR11605054.73,12.1745205,13.678513,5
SRR11605054.74,-10.905371,-13.511811,3
SRR11605054.75,0.47726962,2.7007546,11
SRR11605054.76,-2.385821,12.547155,10
SRR11605054.77,-6.582518,-18.949917,6
SRR11605054.78,4.532218,26.141245,8
SRR11605054.79,2.9588668,-19.559359,11
SRR11605054.80,10.77077,18.938131,2
SRR11605054.81,2.7480524,17.473118,9
SRR11605054.82,1.7485929,3.6672294,11
SRR11605054.83,5.5808344,-20.925137,11
SRR11605054.84,10.258389,21.019394,2
SRR11605054.85,5.085145,15.024092,7
SRR11605054.86,9.7741785,3.840304,-1
SRR11605054.87,1.4525012,3.6008,11
SRR11605054.88,-5.392024,-15.198965,-1
SRR11605054.89,6.1654854,10.50378,7
SRR11605054.90,1.3281025,3.5255716,11
SRR11605054.91,10.52884,18.762796,2
SRR11605054.92,1.4244068,3.585217,11
SRR11605054.93,-2.8445725,-20.056036,-1
SRR11605054.94,9.641895,-12.824024,-1
SRR11605054.95,1.4517254,3.5999608,11
SRR11605054.96,13.616236,16.246815,-1
SRR11605054.97,-21.847717,-6.0027575,1
SRR11605054.98,3.3569305,18.840466,9
SRR11605054.99,-20.49216,0.7048436,1
SRR11605054.100,-0.678443,-14.130821,11
SRR11605054.101,-5.4037113,2.5093455,-1
SRR11605054.102,1.327502,3.5254512,11
SRR11605054.103,-10.184446,1.6137772,-1
SRR11605054.104,1.3297023,3.5269017,11
SRR11605054.105,-15.049356,2.830199,0
SRR11605054.106,3.8382766,-2.901229,11
SRR11605054.107,2.7553053,-18.296656,11
SRR11605054.108,1.7476435,3.6671925,11
SRR11605054.109,-2.6489909,-8.959414,-1
SRR11605054.110,9.453219,-12.168999,-1
SRR11605054.111,2.9588668,-19.559359,11
SRR11605054.112,-13.949414,1.1282382,0
SRR11605054.113,-23.728558,-4.8486047,1
SRR11605054.114,-21.627312,-0.070608124,1
SRR11605054.115,3.838365,-2.9012537,11
SRR11605054.116,-6.7952337,-19.188704,6
SRR11605054.117,1.3289686,3.5263164,11
SRR11605054.118,2.5339012,21.210009,9
SRR11605054.119,-8.971946,-14.616205,3
SRR11605054.120,8.895617,-11.744197,-1
SRR11605054.121,-22.984728,-0.97138584,1
SRR11605054.122,7.646066,-8.626107,-1
SRR11605054.123,6.3293552,-21.261078,11
SRR11605054.124,-5.257051,2.5891767,-1
SRR11605054.125,3.9664078,-9.227003,11
SRR11605054.126,3.9133294,-17.845163,11
SRR11605054.127,-7.0763283,-18.307528,6
SRR11605054.128,1.7495166,3.667462,11
SRR11605054.129,-9.517931,4.6052933,-1
SRR11605054.130,0.8731399,1.8221376,11
SRR11605054.131,-5.252518,-16.38795,6
SRR11605054.132,-18.353134,-1.2613542,1
SRR11605054.133,2.651125,-7.755859,11
SRR11605054.134,-0.95646393,10.316172,-1
SRR11605054.135,-21.238983,0.9466617,1
SRR11605054.136,1.4521044,3.6000733,11
SRR11605054.137,-0.047123484,-8.747645,11
SRR11605054.138,-19.081203,-2.2248776,1
SRR11605054.139,1.4924877,-10.469354,11
SRR11605054.140,1.7469629,3.6673322,11
SRR11605054.141,7.783429,10.973642,7
SRR11605054.142,10.18571,-2.1699543,-1
SRR11605054.143,3.3057983,24.865421,8
SRR11605054.144,3.5481207,-7.3015046,11
SRR11605054.145,-3.9554524,-15.980409,11
SRR11605054.146,0.47727,2.7007794,11
SRR11605054.147,-23.814022,-2.4527435,1
SRR11605054.148,-0.18576826,-22.268005,11
SRR11605054.149,-22.485373,-1.3254843,1
SRR11605054.150,-23.450256,-4.1930346,1
SRR11605054.151,6.308482,-21.331516,11
SRR11605054.152,1.7474391,3.667508,11
SRR11605054.153,0.2985282,7.811445,10
SRR11605054.154,2.3915405,-2.2692847,11
SRR11605054.155,-21.178146,-5.197002,1
SRR11605054.156,-0.9923626,-16.53799,11
SRR11605054.157,1.7482678,3.6672273,11
SRR11605054.158,7.579533,11.129337,7
SRR11605054.159,14.550343,11.973344,5
SRR11605054.160,-0.9923626,-16.53799,11
SRR11605054.161,-5.41306,2.5101213,-1
SRR11605054.162,2.6651888,19.236847,9
SRR11605054.163,-15.246091,3.0129933,0
SRR11605054.164,1.3296039,3.5271058,11
SRR11605054.165,-0.6784471,-14.13082,11
SRR11605054.166,-0.1804072,-10.864223,11
SRR11605054.167,-5.5322003,9.196742,-1
SRR11605054.168,1.4538263,3.6004634,11
SRR11605054.169,-21.627306,-0.070604615,1
SRR11605054.170,-10.89107,-8.659084,-1
SRR11605054.171,7.6410465,-8.630047,-1
SRR11605054.172,4.751824,11.349764,7
SRR11605054.173,-6.21137,-19.500103,6
SRR11605054.174,1.3297241,3.526982,11
SRR11605054.175,-10.963323,-14.0913725,3
SRR11605054.176,6.510041,15.077752,-1
SRR11605054.177,4.669853,-20.082064,11
SRR11605054.178,1.3284276,3.5259447,11
SRR11605054.179,3.719504,-8.617029,11
SRR11605054.180,14.888316,12.685136,5
SRR11605054.181,2.6425414,20.599724,9
SRR11605054.182,1.3276632,3.5256026,11
SRR11605054.183,5.0711126,7.3590903,-1
SRR11605054.184,-14.679868,3.2886896,0
SRR11605054.185,16.02884,6.99162,4
SRR11605054.186,11.733069,22.141994,2
SRR11605054.187,6.1654854,10.50378,7
SRR11605054.188,1.7489815,3.6673868,11
SRR11605054.189,-11.203558,-3.647134,-1
SRR11605054.190,11.32622,21.848637,2
SRR11605054.191,1.5712508,20.807364,9
SRR11605054.192,12.3404,21.145464,2
SRR11605054.193,-5.392024,-15.198965,-1
SRR11605054.194,-14.679868,3.2886896,0
SRR11605054.195,1.7469707,3.6675487,11
SRR11605054.196,-23.728558,-4.8486047,1
SRR11605054.197,2.9063394,21.144922,9
SRR11605054.198,16.27949,12.238051,5
SRR11605054.199,-1.9164476,4.103217,-1
SRR11605054.200,-4.399421,5.1572285,-1
SRR11605054.201,-22.051811,-5.9877796,1
SRR11605054.202,2.6651356,19.236832,9
SRR11605054.203,-19.659052,-1.4168322,1
SRR11605054.204,-21.885899,-2.5134175,1
SRR11605054.205,-5.263251,-18.884533,6
SRR11605054.206,-11.257814,-3.624327,-1
SRR11605054.207,-9.4132595,-3.873128,-1
SRR11605054.208,-11.186398,-13.762433,3
SRR11605054.209,-3.9359024,-2.7505057,-1
SRR11605054.210,-19.694307,-0.38556767,1
SRR11605054.211,0.5330266,-6.7579446,11
SRR11605054.212,0.5574806,10.037196,10
SRR11605054.213,1.4076002,20.385334,9
SRR11605054.214,-9.607089,3.0951521,-1
SRR11605054.215,6.3500676,15.775576,-1
SRR11605054.216,4.466588,14.614845,7
SRR11605054.217,-23.728558,-4.8486047,1
SRR11605054.218,1.0223833,8.345826,10
SRR11605054.219,-0.36510032,-12.612737,11
SRR11605054.220,-11.257814,-3.624327,-1
SRR11605054.221,-1.2889507,-15.753376,11
SRR11605054.222,2.3731115,-8.752758,11
SRR11605054.223,-14.282272,4.376501,0
SRR11605054.224,7.646066,-8.626107,-1
SRR11605054.225,-4.525848,13.048933,10
SRR11605054.226,1.7476014,3.667227,11
SRR11605054.227,-0.5015935,-15.235093,11
SRR11605054.228,-2.4718688,9.377336,10
SRR11605054.229,-0.9141012,2.5058248,11
SRR11605054.230,-6.21137,-19.500103,6
SRR11605054.231,7.027807,-21.218328,-1
SRR11605054.232,6.5701523,5.0045176,11
SRR11605054.233,1.7470695,3.6673114,11
SRR11605054.234,1.4076002,20.385334,9
SRR11605054.235,1.942194,-6.6863437,11
SRR11605054.236,1.5594425,-1.8804393,11
SRR11605054.237,7.027807,-21.218328,-1
SRR11605054.238,15.427997,6.0862393,4
SRR11605054.239,-2.2033308,-7.019085,-1
SRR11605054.240,-11.255937,-13.906426,3
SRR11605054.241,0.3947805,7.40843,-1
SRR11605054.242,-15.057414,-7.2795258,-1
SRR11605054.243,-0.08149901,-14.237034,11
SRR11605054.244,11.733069,22.141994,2
SRR11605054.245,3.7752364,27.3909,8
SRR11605054.246,1.7486221,3.6676118,11
SRR11605054.247,1.7480322,3.6669202,11
SRR11605054.248,8.540223,6.1053085,-1
SRR11605054.249,5.5615163,-21.505304,11
SRR11605054.250,2.6651356,19.236832,9
SRR11605054.251,-8.0397005,-10.68784,-1
SRR11605054.252,-0.48011547,-12.030152,11
SRR11605054.253,-23.326645,-2.7222953,1
SRR11605054.254,-13.949414,1.1282382,0
SRR11605054.255,-19.921936,-4.5054517,1
SRR11605054.256,10.929431,18.850039,2
SRR11605054.257,10.310094,18.45073,-1
SRR11605054.258,-1.4739485,-0.13873154,-1
SRR11605054.259,1.9748042,-13.198199,11
SRR11605054.260,3.6208744,-8.626309,11
SRR11605054.261,-0.89096785,-3.461096,-1
SRR11605054.262,11.373547,22.52418,2
SRR11605054.263,-20.900484,-0.9063512,1
SRR11605054.264,-21.942804,-0.4642324,1
SRR11605054.265,-5.2250977,-13.576889,-1
SRR11605054.266,-9.394575,-14.553567,3
SRR11605054.267,14.918135,11.263739,5
SRR11605054.268,1.4058369,3.0229437,11
SRR11605054.269,-11.282398,-3.2605796,-1
SRR11605054.270,1.8457801,-10.656619,11
SRR11605054.271,-11.174321,-8.8557005,-1
SRR11605054.272,-5.6401224,-2.3150353,-1
SRR11605054.273,-5.220113,4.0209403,-1
SRR11605054.274,1.3937837,-8.381716,11
SRR11605054.275,1.4008536,3.0207648,11
SRR11605054.276,-18.634583,-0.97824824,1
SRR11605054.277,-19.661116,-1.403467,1
SRR11605054.278,-19.023788,0.11534693,1
SRR11605054.279,15.822249,13.085284,5
SRR11605054.280,-3.9927719,-2.6235843,-1
SRR11605054.281,-6.7859273,-19.188566,6
SRR11605054.282,4.99073,7.4783144,-1
SRR11605054.283,3.7551641,27.39662,8
SRR11605054.284,-2.2796335,19.58939,-1
SRR11605054.285,-2.5264301,19.033422,-1
SRR11605054.286,-0.88808906,-10.027521,11
SRR11605054.287,-1.1136353,-12.45672,11
SRR11605054.288,-0.48328158,-15.516755,11
SRR11605054.289,9.848158,5.214451,-1
SRR11605054.290,2.4330254,19.909798,9
SRR11605054.291,9.251287,-10.38804,-1
SRR11605054.292,0.66117835,-14.630959,11
SRR11605054.293,-21.17186,-5.143236,1
SRR11605054.294,-19.929733,-3.4334917,1
SRR11605054.295,1.9269905,3.241375,11
SRR11605054.296,-13.922894,1.1186391,0
SRR11605054.297,-21.618837,0.61630666,1
SRR11605054.298,1.9270517,3.2414098,11
SRR11605054.299,-5.3876276,-15.189817,-1
SRR11605054.300,-3.5582273,14.276486,10
SRR11605054.301,12.382809,20.29259,2
SRR11605054.302,1.8629704,-22.414433,11
SRR11605054.303,1.5935845,12.281757,-1
SRR11605054.304,4.198411,19.580626,9
SRR11605054.305,4.198411,19.580626,9
SRR11605054.306,-1.0848993,10.25425,-1
SRR11605054.307,1.3991,3.0199916,11
SRR11605054.308,9.848197,5.214353,-1
SRR11605054.309,3.4585116,14.386548,-1
SRR11605054.310,1.9270537,3.2414238,11
SRR11605054.311,0.18793684,-10.684568,11
SRR11605054.312,-14.020597,0.68144494,0
SRR11605054.313,1.481647,-4.5224714,11
SRR11605054.314,-1.401803,-0.16556172,-1
SRR11605054.315,1.6137033,-22.697783,11
SRR11605054.316,-0.48331115,-15.5167465,11
SRR11605054.317,11.003253,22.930643,2
SRR11605054.318,-11.1702585,-13.763821,3
SRR11605054.319,-4.768852,12.687978,10
SRR11605054.320,6.226994,-20.264694,11
SRR11605054.321,-5.6401224,-2.3150353,-1
SRR11605054.322,-23.82996,-6.300654,1
SRR11605054.323,12.419253,7.3669295,-1
SRR11605054.324,-0.88794357,-10.027442,11
SRR11605054.325,-5.2868266,3.8090546,-1
SRR11605054.326,2.4330254,19.909798,9
SRR11605054.327,2.3311331,16.138535,-1
SRR11605054.328,2.3310275,16.137827,-1
SRR11605054.329,12.375423,7.396688,-1
SRR11605054.330,-5.804901,-5.2605147,-1
SRR11605054.331,-20.043781,-5.1272807,1
SRR11605054.332,2.9203265,-13.636482,-1
SRR11605054.333,0.49111074,2.5473247,11
SRR11605054.334,1.4041312,3.0221362,11
SRR11605054.335,-14.9869375,-2.5567148,-1
SRR11605054.336,-22.744064,-5.555095,1
SRR11605054.337,-14.137438,1.692527,0
SRR11605054.338,9.901532,-10.177203,-1
SRR11605054.339,2.1062613,21.49543,9
SRR11605054.340,1.9267654,3.2412732,11
SRR11605054.341,-15.069125,-7.281031,-1
SRR11605054.342,-1.1136348,-12.456733,11
SRR11605054.343,-1.1136353,-12.45672,11
SRR11605054.344,-14.694581,3.2335522,0
SRR11605054.345,1.6504698,12.344905,-1
SRR11605054.346,14.390476,14.190644,5
SRR11605054.347,11.053951,22.241661,2
SRR11605054.348,-5.22012,4.020934,-1
SRR11605054.349,1.400364,3.0207667,11
SRR11605054.350,1.4001609,3.0204723,11
SRR11605054.351,-23.881409,-3.0032637,1
SRR11605054.352,3.6765707,27.275707,8
SRR11605054.353,-0.70758814,-14.664948,11
SRR11605054.354,-0.1023389,-8.838339,11
SRR11605054.355,0.187937,-10.684606,11
SRR11605054.356,-14.694581,3.2335522,0
SRR11605054.357,1.3970146,3.0188584,11
SRR11605054.358,-15.125388,-7.2704325,-1
SRR11605054.359,1.9277315,3.241934,11
SRR11605054.360,1.8814572,20.580189,9
SRR11605054.361,1.1992329,-12.848278,11
SRR11605054.362,3.2928426,-16.821203,-1
SRR11605054.363,1.3997824,3.019927,11
SRR11605054.364,-4.258703,9.56559,-1
SRR11605054.365,2.650113,21.967054,9
SRR11605054.366,-4.975522,13.441754,10
SRR11605054.367,-2.21257,7.5252414,-1
SRR11605054.368,-2.0618603,-12.936009,11
SRR11605054.369,4.535406,26.160872,8
SRR11605054.370,2.7542884,-18.303368,11
SRR11605054.371,13.5039425,11.515202,5
SRR11605054.372,-14.259633,-7.5506034,-1
SRR11605054.373,-15.059009,-7.2784333,-1
SRR11605054.374,-4.8744264,13.267866,10
SRR11605054.375,-0.1804103,-13.820816,11
SRR11605054.376,-2.6490285,-19.932383,-1
SRR11605054.377,10.988301,21.300068,2
SRR11605054.378,-0.48328158,-15.516755,11
SRR11605054.379,-24.437483,-3.7853353,1
SRR11605054.380,-20.758167,-6.746605,1
SRR11605054.381,1.4043077,3.0222578,11
SRR11605054.382,1.4013671,3.0207906,11
SRR11605054.383,9.837997,5.172748,-1
SRR11605054.384,-1.8436764,-15.178432,11
SRR11605054.385,3.0624878,-9.7404175,11
SRR11605054.386,1.4152402,-10.541815,11
SRR11605054.387,14.390476,14.190644,5
SRR11605054.388,1.3999137,3.0206723,11
SRR11605054.389,1.4152691,-10.541835,11
SRR11605054.390,-3.1079051,14.436689,10
SRR11605054.391,1.9275846,3.2413354,11
SRR11605054.392,15.444015,6.040246,4
SRR11605054.393,5.580947,-21.499958,11
SRR11605054.394,1.399246,3.0199988,11
SRR11605054.395,2.4330254,19.909798,9
SRR11605054.396,-2.8344536,-20.049152,-1
SRR11605054.397,2.7542884,-18.303368,11
SRR11605054.398,11.741072,22.158571,2
SRR11605054.399,3.467512,14.402529,-1
SRR11605054.400,0.27592415,-17.750317,11
SRR11605054.401,14.390476,14.190644,5
SRR11605054.402,1.4703382,19.765451,9
SRR11605054.403,-22.524153,-1.5043997,1
SRR11605054.404,15.444015,6.040246,4
SRR11605054.405,-2.9182649,-5.738318,-1
SRR11605054.406,2.6222184,20.603876,9
SRR11605054.407,3.6469364,23.95386,8
SRR11605054.408,11.9852705,12.554465,5
SRR11605054.409,11.741072,22.158571,2
SRR11605054.410,11.741072,22.158571,2
SRR11605054.411,1.4039944,3.022185,11
SRR11605054.412,-22.668415,-5.049023,1
SRR11605054.413,-6.0162234,-8.440601,-1
SRR11605054.414,1.6934855,-2.1210852,11
SRR11605054.415,1.6137033,-22.697783,11
SRR11605054.416,1.3991061,3.01971,11
SRR11605054.417,5.6213374,12.377156,7
SRR11605054.418,-9.464041,-14.411713,3
SRR11605054.419,6.7176905,15.794111,-1
SRR11605054.420,-14.415418,-6.8915586,-1
SRR11605054.421,5.0683894,7.357992,-1
SRR11605054.422,1.9281417,3.2419116,11
SRR11605054.423,2.354134,-2.351597,11
SRR11605054.424,-0.8879669,-10.027466,11
SRR11605054.425,1.3959769,3.0182827,11
SRR11605054.426,1.6137033,-22.697783,11
SRR11605054.427,-2.0340555,7.1625032,-1
SRR11605054.428,1.9270285,3.24142,11
SRR11605054.429,5.4514055,-11.000667,-1
SRR11605054.430,-12.311242,3.8029225,0
SRR11605054.431,-20.089684,-2.250044,1
SRR11605054.432,-11.259291,-3.624714,-1
SRR11605054.433,-15.837687,-7.429251,-1
SRR11605054.434,-5.6401224,-2.3150353,-1
SRR11605054.435,3.7082107,-16.374062,-1
SRR11605054.436,2.1673684,16.140928,-1
SRR11605054.437,0.22234273,10.013357,10
SRR11605054.438,15.223274,8.022058,4
SRR11605054.439,1.9279786,3.241807,11
SRR11605054.440,-7.8641686,3.4715934,-1
SRR11605054.441,15.025283,8.10101,4
SRR11605054.442,1.8814572,20.580189,9
SRR11605054.443,4.28336,-13.339707,-1
SRR11605054.444,4.28336,-13.339707,-1
SRR11605054.445,3.3111439,-18.636665,11
SRR11605054.446,-13.922894,1.1186391,0
SRR11605054.447,2.7542884,-18.303368,11
SRR11605054.448,9.848197,5.214353,-1
SRR11605054.449,4.5766478,-21.744623,-1
SRR11605054.450,-1.2918584,-4.028096,-1
SRR11605054.451,5.6583586,-17.951817,-1
SRR11605054.452,1.3998445,3.020275,11
SRR11605054.453,0.13916783,13.755466,-1
SRR11605054.454,1.4008504,3.0206218,11
SRR11605054.455,2.4330254,19.909798,9
SRR11605054.456,-3.8191872,-6.566099,-1
SRR11605054.457,1.6137033,-22.697783,11
SRR11605054.458,1.3988605,3.0202322,11
SRR11605054.459,13.846382,13.28918,5
SRR11605054.460,-2.2529578,19.729307,-1
SRR11605054.461,-15.059058,-7.2784333,-1
SRR11605054.462,-2.3464346,-15.550032,11
SRR11605054.463,-15.125388,-7.2704325,-1
SRR11605054.464,1.3999505,3.020107,11
SRR11605054.465,-5.22012,4.020934,-1
SRR11605054.466,1.9748447,-13.198231,11
SRR11605054.467,1.4644378,-14.233464,11
SRR11605054.468,-10.302774,-12.765252,3
SRR11605054.469,1.8518827,-22.549381,11
SRR11605054.470,0.6099762,18.608547,9
SRR11605054.471,3.467512,14.402529,-1
SRR11605054.472,1.9271775,3.241448,11
SRR11605054.473,-21.17186,-5.143236,1
SRR11605054.474,9.639908,-12.445167,-1
SRR11605054.475,7.6442757,-8.625328,-1
SRR11605054.476,0.89773583,-22.934553,11
SRR11605054.477,4.535406,26.160872,8
SRR11605054.478,-5.9287167,-8.615364,-1
SRR11605054.479,-20.916729,-0.8108162,1
SRR11605054.480,-0.41537717,-0.07895805,11
SRR11605054.481,11.741072,22.158571,2
SRR11605054.482,-5.6401224,-2.3150353,-1
SRR11605054.483,0.7008406,18.04503,9
SRR11605054.484,1.9503609,22.086008,9
SRR11605054.485,-5.387257,4.099829,-1
SRR11605054.486,-5.2261834,4.0590854,-1
SRR11605054.487,-5.9319963,-8.754924,-1
SRR11605054.488,-19.869583,-2.2278383,1
SRR11605054.489,-5.9322596,-8.77261,-1
SRR11605054.490,4.3682623,25.832731,8
SRR11605054.491,-23.41439,-2.7685,1
SRR11605054.492,-9.394579,-14.553564,3
SRR11605054.493,-14.557377,1.6304789,0
SRR11605054.494,-15.059012,-7.278437,-1
SRR11605054.495,1.1067996,-4.0225406,11
SRR11605054.496,-21.17186,-5.143236,1
SRR11605054.497,-23.7216,-4.84133,1
SRR11605054.498,8.876459,-12.733891,-1
SRR11605054.499,8.876459,-12.733891,-1
SRR11605054.500,-5.9287167,-8.615364,-1
SRR11605054.501,-2.21257,7.5252414,-1
SRR11605054.502,7.0402317,-21.218004,-1
SRR11605054.503,4.787333,11.365683,7
SRR11605054.504,14.390476,14.190644,5
SRR11605054.505,-14.89705,2.4657574,0
SRR11605054.506,1.7445416,18.349434,9
SRR11605054.507,4.198411,19.580626,9
SRR11605054.508,-6.685714,-19.611607,6
SRR11605054.509,0.12334531,-17.84909,11
SRR11605054.510,-5.9287167,-8.615364,-1
SRR11605054.511,-5.9287167,-8.615364,-1
SRR11605054.512,-7.5277443,4.416541,-1
SRR11605054.513,3.221495,-8.554463,11
SRR11605054.514,-24.954515,-3.8818843,1
SRR11605054.515,-0.17840485,-9.015752,11
SRR11605054.516,10.071947,-12.93077,-1
SRR11605054.517,3.4884279,-8.689575,11
SRR11605054.518,3.7062187,27.381067,8
SRR11605054.519,-10.663627,-8.511801,-1
SRR11605054.520,0.9222423,-7.3243217,11
SRR11605054.521,5.3126616,7.130808,-1
SRR11605054.522,1.7748653,2.4652474,11
SRR11605054.523,1.7797084,2.4673083,11
SRR11605054.524,1.7727216,2.4636745,11
SRR11605054.525,0.6336663,20.12828,9
SRR11605054.526,-2.837015,-19.888184,-1
SRR11605054.527,2.9602263,-19.567234,11
SRR11605054.528,1.3099086,-10.751968,11
SRR11605054.529,1.7747091,2.4652631,11
SRR11605054.530,4.7212095,11.343237,7
SRR11605054.531,2.9602263,-19.567234,11
SRR11605054.532,0.69595,-12.847478,11
SRR11605054.533,-14.699963,3.023114,0
SRR11605054.534,2.4105437,-2.6574826,11
SRR11605054.535,3.4659393,14.395169,-1
SRR11605054.536,14.356403,14.143579,5
SRR11605054.537,3.8723898,-3.6018438,11
SRR11605054.538,-0.8502092,-10.141532,11
SRR11605054.539,-0.85018545,-10.141436,11
SRR11605054.540,9.830136,5.2060466,-1
SRR11605054.541,1.8435622,-2.5334074,11
SRR11605054.542,4.445253,-2.8461862,11
SRR11605054.543,-9.397576,-14.561953,3
SRR11605054.544,8.955998,12.877701,-1
SRR11605054.545,5.064233,7.35306,-1
SRR11605054.546,2.4529865,19.957739,9
SRR11605054.547,0.10733065,-17.858883,11
SRR11605054.548,7.642203,-8.625294,-1
SRR11605054.549,-2.4086766,-20.083344,-1
SRR11605054.550,-10.663627,-8.511801,-1
SRR11605054.551,2.4529703,19.957682,9
SRR11605054.552,11.238561,0.86008215,-1
SRR11605054.553,2.3737388,-19.537424,11
SRR11605054.554,-14.868579,2.8410852,0
SRR11605054.555,2.024128,2.6171768,11
SRR11605054.556,-5.9287,-8.650996,-1
SRR11605054.557,2.8395152,-3.4104195,11
SRR11605054.558,2.4529896,19.957739,9
SRR11605054.559,-5.3834276,-15.198673,-1
SRR11605054.560,-7.230959,-7.733772,-1
SRR11605054.561,2.4529896,19.957739,9
SRR11605054.562,-2.62388,3.1104095,-1
SRR11605054.563,5.0775676,15.025657,7
SRR11605054.564,8.960819,12.898771,-1
SRR11605054.565,-3.971961,-2.6742122,-1
SRR11605054.566,-5.3834276,-15.198673,-1
SRR11605054.567,-21.852991,-0.14234078,1
SRR11605054.568,-5.3834276,-15.198673,-1
SRR11605054.569,0.22861172,-14.69982,11
SRR11605054.570,-7.4567885,4.3292637,-1
SRR11605054.571,-14.699963,3.023114,0
SRR11605054.572,-14.757673,1.9325466,0
SRR11605054.573,-3.6957936,14.239914,10
SRR11605054.574,-8.207677,-11.029921,-1
SRR11605054.575,2.0302584,2.623448,11
SRR11605054.576,5.0792546,15.016509,7
SRR11605054.577,1.0789912,1.4482211,11
SRR11605054.578,3.6740687,-21.667011,11
SRR11605054.579,-23.265295,-2.5071058,1
SRR11605054.580,0.88963956,-22.951456,11
SRR11605054.581,-5.9055643,-13.428016,-1
SRR11605054.582,-10.698185,-1.1584495,-1
SRR11605054.583,-1.0057566,2.4868596,11
SRR11605054.584,-14.315333,1.336773,0
SRR11605054.585,2.0296612,2.6232767,11
SRR11605054.586,13.4789505,12.531472,5
SRR11605054.587,-13.891788,1.0965133,0
SRR11605054.588,13.889321,12.040694,5
SRR11605054.589,14.612232,11.1082,5
SRR11605054.590,8.973168,12.934442,-1
SRR11605054.591,-19.669247,-1.3726667,1
SRR11605054.592,-3.5617864,14.237827,10
SRR11605054.593,4.728335,11.346419,7
SRR11605054.594,2.752778,-18.314478,11
SRR11605054.595,-21.344988,-5.006943,1
SRR11605054.596,-10.956563,-9.93118,-1
SRR11605054.597,9.830136,5.2060466,-1
SRR11605054.598,3.3665798,14.3390665,-1
SRR11605054.599,-10.880862,-13.508561,3
SRR11605054.600,2.4529896,19.957739,9
SRR11605054.601,2.4529896,19.957739,9
SRR11605054.602,2.0299463,2.6234272,11
SRR11605054.603,1.5881658,12.278058,-1
SRR11605054.604,4.586591,26.22841,8
SRR11605054.605,6.361839,15.709663,-1
