ID,tsne dim 1,tsne dim 2,Clusters
SRR11605054.97,2.9290147,-12.357759,8
SRR11605054.98,-8.053908,7.8464823,18
SRR11605054.99,-1.2547072,-10.4416685,8
SRR11605054.100,7.657752,0.34891868,23
SRR11605054.101,-2.6165743,-3.8367627,12
SRR11605054.102,-1.2727069,1.7500846,22
SRR11605054.103,-1.8831937,-5.885144,-1
SRR11605054.104,-1.2763221,1.746411,22
SRR11605054.105,-3.760908,-8.547843,4
SRR11605054.106,1.6650622,1.9454725,-1
SRR11605054.107,9.990051,3.4214356,15
SRR11605054.108,-0.8693232,2.159898,22
SRR11605054.109,6.822734,3.7522814,-1
SRR11605054.110,8.437641,7.5441213,9
SRR11605054.111,10.630592,3.8427365,15
SRR11605054.112,-2.4935076,-8.014406,4
SRR11605054.113,2.5294688,-10.918058,8
SRR11605054.114,-0.4699329,-10.530137,8
SRR11605054.115,1.6650622,1.9454725,-1
SRR11605054.116,13.67495,1.8292267,13
SRR11605054.117,-1.2732495,1.749781,22
SRR11605054.118,-9.316736,8.673374,18
SRR11605054.119,8.955524,-5.046013,11
SRR11605054.120,8.160866,7.1430497,9
SRR11605054.121,0.39388672,-10.408739,8
SRR11605054.122,6.5647216,5.206644,9
SRR11605054.123,4.828742,8.576359,0
SRR11605054.124,-2.6775215,-3.7298913,12
SRR11605054.125,4.536606,2.3145685,-1
SRR11605054.126,10.039561,4.4347587,15
SRR11605054.127,13.301859,1.1208421,13
SRR11605054.128,-1.2733583,1.7494586,22
SRR11605054.129,-4.899595,-6.6522474,-1
SRR11605054.130,0.33466735,2.419339,-1
SRR11605054.131,10.048047,-2.1425164,19
SRR11605054.132,-0.9039816,-12.723658,8
SRR11605054.133,3.9264576,1.3461765,23
SRR11605054.134,-5.882423,1.3277289,21
SRR11605054.135,-0.6153328,-9.957145,8
SRR11605054.136,-1.2731075,1.7496439,22
SRR11605054.137,4.6492286,-0.19793354,23
SRR11605054.138,-0.3185144,-12.77455,8
SRR11605054.139,5.4615364,0.84279585,23
SRR11605054.140,-1.2738785,1.7489622,22
SRR11605054.141,-6.3620667,5.6792774,17
SRR11605054.142,0.7245741,4.1980987,-1
SRR11605054.143,-11.620954,6.598294,1
SRR11605054.144,3.5274308,1.6134475,-1
SRR11605054.145,9.184595,-1.3244426,-1
SRR11605054.146,-0.17304191,2.6249774,-1
SRR11605054.147,1.2385665,-11.065725,8
SRR11605054.148,11.399022,-1.5463716,16
SRR11605054.149,0.49043575,-10.804932,8
SRR11605054.150,2.2626011,-11.065077,8
SRR11605054.151,4.8829713,8.586872,0
SRR11605054.152,-1.273234,1.7496077,22
SRR11605054.153,-4.50984,2.6047757,21
SRR11605054.154,1.4371297,1.8443046,22
SRR11605054.155,2.1617818,-12.64218,8
SRR11605054.156,8.948373,1.1488681,23
SRR11605054.157,-1.2742556,1.7484254,22
SRR11605054.158,-6.377168,5.8748236,17
SRR11605054.159,-9.536641,-2.3506334,5
SRR11605054.160,8.948404,1.1488317,23
SRR11605054.161,-2.6163945,-3.8430595,12
SRR11605054.162,-8.118313,8.436146,18
SRR11605054.163,-3.7818255,-8.681163,4
SRR11605054.164,-1.2736471,1.7489827,22
SRR11605054.165,7.657752,0.34891868,23
SRR11605054.166,5.925259,0.27787685,23
SRR11605054.167,-6.2759333,-0.49249342,-1
SRR11605054.168,-1.2741513,1.7484419,22
SRR11605054.169,-0.4699329,-10.530137,8
SRR11605054.170,4.4954934,-5.5030327,7
SRR11605054.171,6.567899,5.1989927,9
SRR11605054.172,-4.9447756,6.289434,17
SRR11605054.173,13.539697,1.6397508,13
SRR11605054.174,-1.2729723,1.7499129,22
SRR11605054.175,8.641714,-6.3833895,11
SRR11605054.176,-7.3765616,4.650242,-1
SRR11605054.177,9.363964,3.9449415,15
SRR11605054.178,-1.2730725,1.7497859,22
SRR11605054.179,4.066464,2.0360255,-1
SRR11605054.180,-10.287745,-2.8773103,5
SRR11605054.181,-8.6919365,8.215489,18
SRR11605054.182,-1.2732776,1.7497325,22
SRR11605054.183,0.7885469,6.189698,-1
SRR11605054.184,-3.851264,-8.357716,4
SRR11605054.185,-1.606516,7.548555,3
SRR11605054.186,-13.643606,1.0728619,2
SRR11605054.187,-6.053988,6.8590055,-1
SRR11605054.188,-0.8674318,2.1610935,22
SRR11605054.189,13.924533,0.13770884,-1
SRR11605054.190,-13.429028,1.0084844,2
SRR11605054.191,-8.916553,8.976342,18
SRR11605054.192,-13.424031,1.5988028,2
SRR11605054.193,9.276101,-2.3769877,19
SRR11605054.194,-3.851264,-8.357716,4
SRR11605054.195,-1.2735735,1.7492887,22
SRR11605054.196,2.5294688,-10.918058,8
SRR11605054.197,-9.23374,8.311397,18
SRR11605054.198,-8.969296,-3.5880642,5
SRR11605054.199,0.50882196,-3.6426299,-1
SRR11605054.200,-4.6678023,-3.10416,12
SRR11605054.201,2.8835666,-12.331744,8
SRR11605054.202,-8.118313,8.436146,18
SRR11605054.203,-0.7648606,-12.090953,8
SRR11605054.204,0.8554685,-11.634783,8
SRR11605054.205,12.70522,1.9237452,13
SRR11605054.206,14.052079,0.14985424,-1
SRR11605054.207,3.5500133,-3.1805582,6
SRR11605054.208,8.613106,-6.515184,11
SRR11605054.209,2.9156811,4.903586,10
SRR11605054.210,-1.3658131,-11.452063,8
SRR11605054.211,3.895527,-0.046283934,23
SRR11605054.212,-5.784277,2.3889675,-1
SRR11605054.213,-8.615535,9.042402,18
SRR11605054.214,-1.217779,-9.0157385,-1
SRR11605054.215,-7.6835685,4.7517743,17
SRR11605054.216,-6.0610266,-2.9778597,12
SRR11605054.217,2.5294688,-10.918058,8
SRR11605054.218,-4.3773365,2.2250469,21
SRR11605054.219,6.8973427,0.2659295,23
SRR11605054.220,14.052078,0.14985427,-1
SRR11605054.221,8.315012,1.4765315,23
SRR11605054.222,4.430875,1.5947098,23
SRR11605054.223,-4.66938,-8.078383,4
SRR11605054.224,6.564693,5.206652,9
SRR11605054.225,-8.3223,1.012418,20
SRR11605054.226,-1.2732391,1.7497175,22
SRR11605054.227,8.263908,0.18921328,23
SRR11605054.228,-4.9093194,0.5296796,21
SRR11605054.229,-2.028437,-1.8208312,-1
SRR11605054.230,13.539697,1.6397508,13
SRR11605054.231,4.6249065,8.751971,0
SRR11605054.232,-2.1559525,1.9597604,-1
SRR11605054.233,-1.2724645,1.7503836,22
SRR11605054.234,-8.615535,9.042402,18
SRR11605054.235,3.5336504,0.78203875,22
SRR11605054.236,1.1675625,1.8878278,22
SRR11605054.237,4.6249065,8.751971,0
SRR11605054.238,-1.5774026,8.586683,3
SRR11605054.239,5.7695484,3.9529133,-1
SRR11605054.240,8.661913,-6.5363836,11
SRR11605054.241,-4.067926,2.6438825,21
SRR11605054.242,2.866485,-7.406527,7
SRR11605054.243,7.6582823,0.92772126,23
SRR11605054.244,-13.643606,1.0728619,2
SRR11605054.245,-12.517404,5.224269,1
SRR11605054.246,-1.2734797,1.7495275,22
SRR11605054.247,-1.273204,1.7494618,22
SRR11605054.248,-2.7136593,3.1193862,14
SRR11605054.249,5.218999,8.397352,0
SRR11605054.250,-8.118336,8.436165,18
SRR11605054.251,6.3447986,-4.0258594,-1
SRR11605054.252,6.7376456,0.22757189,23
SRR11605054.253,1.3062824,-11.124608,8
SRR11605054.254,-2.4935026,-8.014425,4
SRR11605054.255,1.5514499,-13.395994,8
SRR11605054.256,-11.472841,1.5556768,2
SRR11605054.257,-11.206231,2.033748,2
SRR11605054.258,3.8796296,3.409876,-1
SRR11605054.259,6.581682,1.9195676,23
SRR11605054.260,4.1037984,1.9624957,23
SRR11605054.261,1.7195864,3.3775725,-1
SRR11605054.262,-13.675497,1.4446328,2
SRR11605054.263,-0.37418905,-11.376731,8
SRR11605054.264,-0.093294755,-10.736582,8
SRR11605054.265,8.108505,-2.5923667,-1
SRR11605054.266,9.195919,-5.2529154,11
SRR11605054.267,-9.975734,-1.7946084,5
SRR11605054.268,-0.5897446,2.1434228,22
SRR11605054.269,14.148222,0.054432087,-1
SRR11605054.270,5.5040035,1.0384741,23
SRR11605054.271,4.527345,-5.4911366,7
SRR11605054.272,3.4023728,5.9155555,10
SRR11605054.273,-3.8103695,-3.3794014,12
SRR11605054.274,4.4135427,0.54118115,23
SRR11605054.275,-0.59114,2.1427226,22
SRR11605054.276,-1.4487274,-12.1427555,8
SRR11605054.277,-0.7715693,-12.081359,8
SRR11605054.278,-1.1809845,-11.212757,8
SRR11605054.279,-9.8700485,-3.7179832,5
SRR11605054.280,2.8617406,4.9412346,10
SRR11605054.281,13.670058,1.8277304,13
SRR11605054.282,0.860842,6.295167,-1
SRR11605054.283,-12.522578,5.223319,1
SRR11605054.284,-5.495392,-7.1942415,-1
SRR11605054.285,-5.0137687,-6.7179265,-1
SRR11605054.286,5.525605,-0.39451343,23
SRR11605054.287,7.0990167,1.6232482,23
SRR11605054.288,8.421789,0.21280505,23
SRR11605054.289,-2.1464188,3.835231,14
SRR11605054.290,-8.156798,8.455044,18
SRR11605054.291,6.921856,6.8987617,-1
SRR11605054.292,7.708714,0.58419055,23
SRR11605054.293,2.146547,-12.637129,8
SRR11605054.294,0.74485487,-12.919565,8
SRR11605054.295,-0.9235992,1.8029304,22
SRR11605054.296,-2.4845922,-8.009689,4
SRR11605054.297,-0.47873348,-10.26046,8
SRR11605054.298,-0.9303375,1.795221,22
SRR11605054.299,9.276541,-2.3768756,19
SRR11605054.300,-8.84572,1.9653344,-1
SRR11605054.301,-12.713321,1.8072962,2
SRR11605054.302,12.12635,-1.3864195,16
SRR11605054.303,-5.3751464,-1.9133269,-1
SRR11605054.304,-8.506336,7.454506,18
SRR11605054.305,-8.506336,7.454506,18
SRR11605054.306,-5.8763366,1.3018552,21
SRR11605054.307,-0.5887034,2.145599,22
SRR11605054.308,-2.1464188,3.835231,14
SRR11605054.309,-5.5536075,-3.3528888,-1
SRR11605054.310,-0.58900905,2.1450942,22
SRR11605054.311,5.8611593,0.31885567,23
SRR11605054.312,-2.376694,-7.959914,4
SRR11605054.313,2.3182657,1.6117349,22
SRR11605054.314,3.9361348,3.3343928,-1
SRR11605054.315,12.145583,-1.6979842,16
SRR11605054.316,8.421779,0.21280962,23
SRR11605054.317,-13.947485,0.31372285,2
SRR11605054.318,8.613991,-6.508196,11
SRR11605054.319,-8.1753435,0.77751267,20
SRR11605054.320,4.4182563,8.23983,0
SRR11605054.321,3.4023752,5.915556,10
SRR11605054.322,3.340168,-10.580963,8
SRR11605054.323,-2.4226975,5.9254003,-1
SRR11605054.324,5.525605,-0.39451343,23
SRR11605054.325,-3.673774,-3.4606168,12
SRR11605054.326,-8.157042,8.455114,18
SRR11605054.327,-5.328155,7.9827056,-1
SRR11605054.328,-5.328155,7.9827056,-1
SRR11605054.329,-2.5014334,5.871708,-1
SRR11605054.330,6.3643756,-5.9826813,-1
SRR11605054.331,2.141894,-13.471403,8
SRR11605054.332,6.5321527,3.073662,-1
SRR11605054.333,-0.027446348,2.5685732,-1
SRR11605054.334,-0.58869815,2.1444175,22
SRR11605054.335,0.4885559,-7.801833,-1
SRR11605054.336,2.7238286,-11.541868,8
SRR11605054.337,-2.8528018,-8.153343,4
SRR11605054.338,7.0276985,7.1480455,-1
SRR11605054.339,-9.35968,8.358382,18
SRR11605054.340,-0.93020684,1.7966568,22
SRR11605054.341,2.8144362,-7.3436995,7
SRR11605054.342,7.099073,1.6234661,23
SRR11605054.343,7.0990057,1.623234,23
SRR11605054.344,-3.843178,-8.35298,4
SRR11605054.345,-5.360272,-2.053059,12
SRR11605054.346,-10.671513,-3.3675992,5
SRR11605054.347,-13.342538,1.6098703,2
SRR11605054.348,-3.8103695,-3.3794014,12
SRR11605054.349,-0.5900682,2.1433055,22
SRR11605054.350,-0.9251083,1.8024346,22
SRR11605054.351,1.5271932,-10.903568,8
SRR11605054.352,-12.506177,5.4157276,1
SRR11605054.353,7.948019,1.1035249,23
SRR11605054.354,4.720951,-0.25912502,23
SRR11605054.355,5.861147,0.31886092,23
SRR11605054.356,-3.843178,-8.35298,4
SRR11605054.357,-0.5890227,2.1450727,22
SRR11605054.358,2.8622718,-7.449459,7
SRR11605054.359,-0.59099436,2.1429536,22
SRR11605054.360,-8.779087,8.674342,18
SRR11605054.361,6.5947185,1.4236883,23
SRR11605054.362,9.034596,3.4257731,15
SRR11605054.363,-0.93069595,1.7949814,22
SRR11605054.364,-6.127392,0.44800562,21
SRR11605054.365,-9.627868,7.965768,18
SRR11605054.366,-8.795026,0.73648685,20
SRR11605054.367,-4.1022935,0.51754826,-1
SRR11605054.368,7.881294,2.3886085,-1
SRR11605054.369,-11.599659,5.2640877,1
SRR11605054.370,9.993314,3.421136,15
SRR11605054.371,-8.901389,-2.7802641,5
SRR11605054.372,3.0088627,-6.876371,7
SRR11605054.373,2.8655272,-7.4071407,7
SRR11605054.374,-8.423467,0.9510998,20
SRR11605054.375,7.419677,0.8218838,23
SRR11605054.376,11.472015,0.72227633,-1
SRR11605054.377,-13.042468,1.0073947,2
SRR11605054.378,8.421789,0.21280266,23
SRR11605054.379,3.3032744,-11.350338,8
SRR11605054.380,2.463686,-10.014637,8
SRR11605054.381,-0.926171,1.8002253,22
SRR11605054.382,-0.9342774,1.7910643,22
SRR11605054.383,-2.1357186,3.8353505,14
SRR11605054.384,8.284898,-0.10596663,23
SRR11605054.385,5.103458,1.7299438,23
SRR11605054.386,5.5075917,0.7895503,23
SRR11605054.387,-10.671513,-3.3675992,5
SRR11605054.388,-0.92951065,1.7963835,22
SRR11605054.389,5.5075917,0.7895503,23
SRR11605054.390,-8.81655,2.2832947,-1
SRR11605054.391,-0.58876246,2.145411,22
SRR11605054.392,-1.574333,8.589695,3
SRR11605054.393,5.2090044,8.403279,0
SRR11605054.394,-0.925113,1.8011518,22
SRR11605054.395,-8.156845,8.455134,18
SRR11605054.396,11.640168,0.80566317,-1
SRR11605054.397,9.993314,3.421136,15
SRR11605054.398,-13.65188,1.0781249,2
SRR11605054.399,-5.5683756,-3.3412213,-1
SRR11605054.400,9.749044,1.178358,23
SRR11605054.401,-10.671513,-3.3675992,5
SRR11605054.402,-8.283767,9.144036,18
SRR11605054.403,0.54462254,-10.924455,8
SRR11605054.404,-1.574333,8.589695,3
SRR11605054.405,5.247606,4.797962,9
SRR11605054.406,-8.702044,8.231931,18
SRR11605054.407,-10.860703,6.731335,1
SRR11605054.408,-9.309882,-4.4752307,5
SRR11605054.409,-13.65188,1.0781249,2
SRR11605054.410,-13.65188,1.0781249,2
SRR11605054.411,-0.93037885,1.7951779,22
SRR11605054.412,2.4396374,-11.634562,8
SRR11605054.413,4.4559417,-2.8874593,6
SRR11605054.414,1.3803371,1.6947854,22
SRR11605054.415,12.145583,-1.6979842,16
SRR11605054.416,-0.9362111,1.7892253,22
SRR11605054.417,-5.307123,5.4285975,17
SRR11605054.418,9.087855,-5.3243194,11
SRR11605054.419,-7.6335735,4.5600576,-1
SRR11605054.420,2.619041,-6.9686136,-1
SRR11605054.421,0.7903569,6.1913166,-1
SRR11605054.422,-0.9304971,1.7952158,22
SRR11605054.423,1.6133554,1.603603,22
SRR11605054.424,5.525605,-0.39451343,23
SRR11605054.425,-0.5886874,2.1445138,22
SRR11605054.426,12.145583,-1.6979842,16
SRR11605054.427,-3.9126008,0.5046833,-1
SRR11605054.428,-0.9305388,1.7954503,22
SRR11605054.429,4.0717144,3.7407515,-1
SRR11605054.430,-4.2616353,-6.8603187,4
SRR11605054.431,0.009506999,-12.368125,8
SRR11605054.432,14.049751,0.14886947,-1
SRR11605054.433,2.9612417,-7.844878,7
SRR11605054.434,3.4023745,5.915557,10
SRR11605054.435,8.477141,3.73782,-1
SRR11605054.436,-5.22891,8.2211485,-1
SRR11605054.437,-5.7481737,2.1661117,21
SRR11605054.438,-2.2496405,7.5313497,3
SRR11605054.439,-0.9379886,1.7869871,22
SRR11605054.440,-3.2626345,-5.0778856,-1
SRR11605054.441,-2.2535536,7.484135,3
SRR11605054.442,-8.779087,8.674342,18
SRR11605054.443,7.0580387,3.489687,-1
SRR11605054.444,7.0580397,3.489679,-1
SRR11605054.445,10.160025,3.827634,15
SRR11605054.446,-2.4845922,-8.009689,4
SRR11605054.447,9.993311,3.4211364,15
SRR11605054.448,-2.146419,3.835231,14
SRR11605054.449,11.108237,1.926594,-1
SRR11605054.450,2.3493679,-2.8319173,-1
SRR11605054.451,10.022664,1.6469351,-1
SRR11605054.452,-0.93191886,1.7933831,22
SRR11605054.453,-3.9294713,-1.097595,-1
SRR11605054.454,-0.58901626,2.145086,22
SRR11605054.455,-8.157199,8.455037,18
SRR11605054.456,6.208675,-2.8920827,-1
SRR11605054.457,12.145583,-1.6979842,16
SRR11605054.458,-0.92715067,1.7989067,22
SRR11605054.459,-10.034912,-3.0479932,5
SRR11605054.460,-5.106869,-7.7467203,4
SRR11605054.461,2.8655272,-7.4071407,7
SRR11605054.462,8.601448,-0.47704282,-1
SRR11605054.463,2.8622718,-7.449459,7
SRR11605054.464,-0.9303406,1.7956945,22
SRR11605054.465,-3.8103695,-3.3794014,12
SRR11605054.466,6.5816197,1.9195592,23
SRR11605054.467,7.616966,1.8581461,23
SRR11605054.468,7.9299455,-6.2145023,11
SRR11605054.469,12.209454,-1.4749185,16
SRR11605054.470,-7.0461287,9.270283,18
SRR11605054.471,-5.5683756,-3.3412213,-1
SRR11605054.472,-0.9328759,1.7923884,22
SRR11605054.473,2.146547,-12.637129,8
SRR11605054.474,8.551343,7.7128654,9
SRR11605054.475,6.564072,5.204836,9
SRR11605054.476,12.116419,-1.8830383,16
SRR11605054.477,-11.599659,5.2640877,1
SRR11605054.478,4.512983,-2.8707561,6
SRR11605054.479,-0.42368773,-11.3323,8
SRR11605054.480,0.9487748,3.6636872,-1
SRR11605054.481,-13.65188,1.0781249,2
SRR11605054.482,3.4023745,5.915557,10
SRR11605054.483,-6.744332,8.379281,-1
SRR11605054.484,-9.572465,7.8076706,18
SRR11605054.485,-3.7046065,-3.404601,12
SRR11605054.486,-3.7669556,-3.3593395,12
SRR11605054.487,4.5415006,-2.869379,6
SRR11605054.488,-0.18956046,-12.51818,8
SRR11605054.489,4.5442686,-2.8664095,6
SRR11605054.490,-11.570338,5.46679,1
SRR11605054.491,1.3620987,-10.866349,8
SRR11605054.492,9.195919,-5.2529154,11
SRR11605054.493,-2.8609095,-8.28383,4
SRR11605054.494,2.8655272,-7.4071407,7
SRR11605054.495,2.2329974,1.6418226,-1
SRR11605054.496,2.146547,-12.637129,8
SRR11605054.497,2.5240517,-10.912534,8
SRR11605054.498,8.746355,7.3652134,9
SRR11605054.499,8.746355,7.3652134,9
SRR11605054.500,4.5129743,-2.8707514,6
SRR11605054.501,-4.1022935,0.51754826,-1
SRR11605054.502,4.62167,8.754374,0
SRR11605054.503,-4.9595537,6.268477,17
SRR11605054.504,-10.671513,-3.3675992,5
SRR11605054.505,-3.532213,-8.458905,4
SRR11605054.506,-7.204748,8.483999,18
SRR11605054.507,-8.506336,7.454506,18
SRR11605054.508,13.729604,1.7909677,13
SRR11605054.509,9.799194,1.005803,-1
SRR11605054.510,4.512875,-2.8707469,6
SRR11605054.511,4.512983,-2.8707561,6
SRR11605054.512,-4.761982,-4.427954,-1
SRR11605054.513,4.317334,1.687205,23
SRR11605054.514,2.2221107,-10.227654,8
SRR11605054.515,4.864672,-0.31263557,23
SRR11605054.516,8.648034,8.014338,9
SRR11605054.517,4.2053804,1.875791,23
SRR11605054.518,-12.523039,5.218458,1
SRR11605054.519,4.463187,-5.5127306,7
SRR11605054.520,3.963062,-0.00920925,23
SRR11605054.521,0.7077192,5.8909006,-1
SRR11605054.522,-0.33672684,1.9323496,22
SRR11605054.523,-0.32259205,1.9473691,22
SRR11605054.524,-0.322057,1.9480802,22
SRR11605054.525,-8.3122225,9.605917,18
SRR11605054.526,11.527025,0.8568341,-1
SRR11605054.527,10.633307,3.843437,15
SRR11605054.528,5.6225076,0.7594824,23
SRR11605054.529,-0.6055787,1.6227132,22
SRR11605054.530,-4.9231787,6.2909174,17
SRR11605054.531,10.633306,3.8434176,15
SRR11605054.532,6.768505,0.88200957,23
SRR11605054.533,-3.8303442,-8.350423,4
SRR11605054.534,1.8582954,1.2059634,22
SRR11605054.535,-5.5629234,-3.3382268,-1
SRR11605054.536,-10.649388,-3.378752,5
SRR11605054.537,2.051239,1.4583671,22
SRR11605054.538,5.6027775,-0.3587975,23
SRR11605054.539,5.6027775,-0.35879785,23
SRR11605054.540,-2.1468923,3.830681,14
SRR11605054.541,1.7019851,1.2408198,22
SRR11605054.542,1.3093508,2.2121122,-1
SRR11605054.543,9.198844,-5.25255,11
SRR11605054.544,-7.5751834,5.779534,-1
SRR11605054.545,0.79631954,6.1930704,-1
SRR11605054.546,-8.179783,8.459871,18
SRR11605054.547,9.805327,1.0041968,-1
SRR11605054.548,6.5639286,5.2030263,9
SRR11605054.549,11.47186,0.600536,-1
SRR11605054.550,4.463187,-5.5127306,7
SRR11605054.551,-8.179729,8.459684,18
SRR11605054.552,-0.47511798,4.5746512,-1
SRR11605054.553,10.812709,3.7438278,15
SRR11605054.554,-3.7763495,-8.426516,4
SRR11605054.555,-0.32223693,1.9479109,22
SRR11605054.556,4.5201416,-2.8700829,6
SRR11605054.557,2.196132,1.621493,22
SRR11605054.558,-8.179783,8.459871,18
SRR11605054.559,9.279204,-2.3745735,19
SRR11605054.560,3.4081943,-3.1062636,6
SRR11605054.561,-8.179783,8.459871,18
SRR11605054.562,2.0536723,-4.4310713,-1
SRR11605054.563,-7.6883297,3.4630337,-1
SRR11605054.564,-7.5885844,5.789142,-1
SRR11605054.565,2.8833575,4.9274845,10
SRR11605054.566,9.279206,-2.374574,19
SRR11605054.567,-0.27801704,-10.430449,8
SRR11605054.568,9.279212,-2.374578,19
SRR11605054.569,7.88804,0.9844767,23
SRR11605054.570,-4.796028,-4.3922234,-1
SRR11605054.571,-3.8303442,-8.350423,4
SRR11605054.572,-3.0752017,-8.442616,4
SRR11605054.573,-8.844214,1.9286809,20
SRR11605054.574,6.6051264,-4.1422105,-1
SRR11605054.575,-0.32343882,1.9466707,22
SRR11605054.576,-7.6789293,3.466155,-1
SRR11605054.577,0.005687278,2.122326,22
SRR11605054.578,10.914521,-0.3443943,-1
SRR11605054.579,1.1873543,-11.083962,8
SRR11605054.580,12.11465,-1.8956578,16
SRR11605054.581,8.328307,-2.839724,-1
SRR11605054.582,-0.93225634,-5.796947,-1
SRR11605054.583,-2.1616535,-2.080199,-1
SRR11605054.584,-2.6648326,-8.129543,4
SRR11605054.585,-0.32699582,1.9428163,22
SRR11605054.586,-9.703944,-2.485003,5
SRR11605054.587,-2.4699821,-8.001422,4
SRR11605054.588,-9.500526,-2.3647044,5
SRR11605054.589,-9.718416,-1.6495036,5
SRR11605054.590,-7.6175237,5.8041162,-1
SRR11605054.591,-0.78314453,-12.055083,8
SRR11605054.592,-8.830219,1.9289274,20
SRR11605054.593,-4.926087,6.287073,17
SRR11605054.594,9.998775,3.4209695,15
SRR11605054.595,2.1563241,-12.607356,8
SRR11605054.596,10.944268,-3.0499825,-1
SRR11605054.597,-2.1468923,3.830681,14
SRR11605054.598,-5.558846,-3.4169147,-1
SRR11605054.599,8.518654,-6.435358,11
SRR11605054.600,-8.179783,8.459871,18
